#EXAMPLE_FILE_POSITIONS_LENGTHS_TIFF_CMU_1: latency 10 ms bandwidth 0 Mbps (infinite)
#           $1      $2          $3       $4     $5          $6          $7          $8          $9      $10             $11
#greedy_length   Time(ms)     Hits     Miss    Hits%   Min. Bytes   Act. Bytes  Act. / Min.     sizeof Overhead  sizeof / Act.
             0  1249777.6        0    62483   0.000%       256566       256566     100.000%     257008     +442       100.172%
             1  1249777.9        0    62483   0.000%       256566       256566     100.000%     257008     +442       100.172%
            16   314711.7    46752    15731  74.824%       256566       256574     100.003%     257304     +730       100.285%
            32   157639.2    54605     7878  87.392%       256566       256734     100.065%     257464     +730       100.284%
            64    79173.4    58528     3955  93.670%       256566       257054     100.190%     257784     +730       100.284%
           128    39871.5    60493     1990  96.815%       256566       257694     100.440%     258424     +730       100.283%
           256    20109.7    61481     1002  98.396%       256566       256814     100.097%     257256     +442       100.172%
           512    10229.9    61975      508  99.187%       256566       257070     100.196%     257512     +442       100.172%
          1024     5229.4    62225      258  99.587%       256566       261964     102.104%     262406     +442       100.169%
          2048     2708.9    62351      132  99.789%       256566       266300     103.794%     266742     +442       100.166%
          4096     1448.9    62414       69  99.890%       256566       278588     108.583%     279030     +442       100.159%
          8192      829.8    62445       38  99.939%       256566       305172     118.945%     305582     +410       100.134%
         16384      531.0    62460       23  99.963%       256566       362516     141.295%     362926     +410       100.113%
         32768      375.0    62468       15  99.976%       256566       486328     189.553%     486738     +410       100.084%
         65536      297.0    62472       11  99.982%       256566       682936     266.183%     683314     +378       100.055%
        131072      266.2    62474        9  99.986%       256566      1179648     459.783%    1180026     +378       100.032%
